Lars2,Malat1,mature
7.13,8.26,0
6.97,10.01,0
6.49,9.4,0
6.49,8.11,0
6.99,9.47,0
6.22,8.79,0
5.22,8.54,0
6.04,7.35,0
7.38,8.62,0
7.46,8.01,0
6.51,8.78,0
6.89,8.1,0
7.93,8.85,0
6.05,8.28,0
7.57,9.72,0
6.29,8.67,0
6.29,6.79,0
5.9,7.98,0
6.49,10.04,0
7.42,8.74,0
6.11,7.56,0
6.99,8.94,0
7.62,8.49,0
6.84,8.56,0
6.55,8.93,0
5.13,6.75,0
5.88,6.34,0
6.04,7.98,0
7.37,8.31,0
6.98,8.42,0
5.84,8.31,0
6.68,8.65,0
5.48,8.16,0
5.32,8.17,0
6.88,8.89,0
6.41,8.31,0
6.98,8.44,0
6.34,6.12,0
7.02,8.24,0
6.77,9.07,0
7.21,9.38,0
7.13,9.08,0
6.15,8.57,0
6.66,9.34,0
6.28,8.33,0
6.45,9.96,0
7.08,9.75,0
6.2,8.32,0
6.07,7.11,0
6.91,9.07,0
6.39,8.16,0
5.06,6.17,0
4.53,6.31,0
6.04,7.27,0
5.87,8.1,0
3.37,7.15,0
3.18,6.97,0
4.85,8.77,0
0,6.79,0
5.2,7.44,0
4.54,8.56,0
2.86,7.47,0
5.67,8.97,0
5.05,8.08,0
3.78,7.35,0
5.17,9.4,0
5.09,7.11,0
5.13,6.66,0
4.49,7.73,0
5.54,8.12,0
4.73,7.08,0
6.05,6.55,0
3.64,6.91,0
5.97,6.28,0
4.04,6.87,0
3.32,7.03,0
3.46,8.1,0
5.03,8.02,0
4.75,8.22,0
3.87,7.07,0
4.47,7.55,0
6.48,7.94,0
3.66,5.95,0
5.23,5.8,0
5.29,6.06,0
4.3,7.1,0
4.84,7.06,0
5.17,7.66,0
4.86,7.87,0
3.07,6.79,0
4.69,6.15,0
4.36,6.84,0
4.8,6.98,0
4.26,5.98,0
5.32,6.72,0
5.09,8.09,0
4.14,7.96,0
4.59,7.87,0
5.3,6.95,0
3.48,5.96,0
4.9,8.14,0
5.45,8.35,0
5.58,6.19,0
3.24,6.44,0
0,6.85,0
4.59,6.77,0
4.23,6.77,0
4.24,8.29,0
4.67,7.82,0
4.74,7.41,0
3.61,5.44,0
3.51,7.28,0
3.98,6.41,0
5.47,6.85,0
3.9,6.2,0
3.44,5.74,0
5.35,7.71,0
5.71,8.67,0
4.8,7.2,0
5.33,6.9,0
3.04,4.03,0
4.65,8.36,0
5.93,6.18,0
4.94,5.54,0
6.22,6,0
6.16,6.15,0
6.03,6.48,0
5.11,6.56,0
6.36,7.06,0
7.15,7.28,0
6.34,6.81,0
7.05,7.09,0
5.79,7.14,0
4.73,5.63,0
7.47,7.66,0
6.03,7.89,0
6.34,5.6,0
5.5,6.09,0
6.18,6.41,0
5.7,7.08,0
5.42,5.52,0
3.99,4.37,0
6.31,6.67,0
5.18,6.57,0
6.43,8.05,0
6.85,5.7,0
5.05,7.08,0
6.18,7.08,0
6.7,7.2,0
6.17,5.42,0
7.79,6.78,0
6.52,7.05,0
6.42,7.3,0
4.43,5.4,0
5.49,6.94,0
7.02,6.55,0
6.4,6.1,0
7.7,9.4,0
3.71,5.07,0
4.87,6.05,0
5.54,5.95,0
6.15,7.22,0
6.35,6.56,0
5.93,7.22,0
7.03,7.07,0
5.67,6.53,0
6.97,6.96,0
5.67,6.14,0
5.49,5.84,0
7.1,6.09,0
6.01,6.8,0
5.63,6.86,0
5.76,6.86,0
4.25,6.89,0
3.42,5.57,0
4.79,5.5,0
4.6,5.9,0
5.92,6.18,0
6.26,6.75,0
5.52,6.15,0
4.91,6.35,0
7.59,6.84,0
4.44,6.61,0
4.17,5.55,0
4.59,6.29,0
6.09,6.82,0
5.76,6.32,0
4.85,4.43,0
4.84,6.02,0
6.07,5.97,0
5.85,7.18,0
6.85,9.12,0
5.7,6.32,0
5.4,6.38,0
4.84,5.46,0
5.5,6.08,0
5.75,6.81,0
6.52,6.9,0
5.94,6.19,0
4.94,5.54,0
6.22,6,0
6.16,6.15,0
6.03,6.49,0
5.12,6.57,0
6.36,7.06,0
7.14,7.27,0
6.35,6.81,0
7.05,7.09,0
5.79,7.14,0
4.73,5.62,0
7.47,7.66,0
6.03,7.89,0
6.35,5.61,0
5.5,6.09,0
6.19,6.41,0
5.7,7.08,0
5.42,5.51,0
3.99,4.37,0
6.32,6.68,0
5.18,6.57,0
6.42,8.04,0
6.85,5.7,0
5.05,7.08,0
6.18,7.08,0
6.7,7.2,0
6.17,5.42,0
7.79,6.78,0
6.52,7.05,0
6.41,7.3,0
4.43,5.4,0
5.48,6.94,0
7.02,6.55,0
6.4,6.09,0
7.71,9.4,0
3.73,5.09,0
4.86,6.04,0
5.53,5.95,0
6.15,7.23,0
6.35,6.56,0
5.94,7.23,0
7.03,7.07,0
5.68,6.54,0
6.97,6.96,0
5.68,6.15,0
5.49,5.84,0
7.1,6.09,0
6.01,6.8,0
5.63,6.86,0
5.76,6.86,0
4.24,6.89,0
3.43,5.58,0
4.79,5.5,0
4.61,5.91,0
5.91,6.18,0
6.26,6.76,0
5.52,6.14,0
4.91,6.35,0
7.59,6.85,0
4.44,6.61,0
4.17,5.55,0
4.59,6.29,0
6.09,6.83,0
5.76,6.33,0
4.84,4.43,0
4.82,6.01,0
6.07,5.97,0
5.85,7.19,0
6.85,9.13,0
5.69,6.32,0
5.4,6.38,0
4.84,5.46,0
5.49,6.07,0
5.75,6.81,0
6.51,6.89,0
5.36,6.96,0
5.26,8.13,0
3.02,5.92,0
5.44,9.3,0
4.54,7.47,0
4.55,6.73,0
5.34,8.04,0
5.32,8.26,0
5.23,7.95,0
5.68,9.9,0
5.36,6.36,0
6.15,9.47,0
4.48,8.6,0
4.31,7.86,0
6.17,8.75,0
4.2,7.65,0
5.61,8.62,0
6.69,8.29,0
4.82,8,0
3.97,7.95,0
3.97,7.32,0
4.7,4.7,0
4.53,6.81,0
3.15,5.98,0
4.87,5.79,0
5.13,6.67,0
4.1,5.74,0
4.28,4.67,0
4.83,6.84,0
5.8,7.53,0
5.2,5.81,0
3.88,5.47,0
6.01,7.85,0
5.02,7.03,0
3.23,6.12,0
0,4.5,0
4.24,5.84,0
3.11,5.97,0
0,4.95,0
5.2,4.76,0
3.98,6.51,0
4.9,6.16,0
3.38,4.95,0
